class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
e,4.060739729644326,x,t,w,f,d,c,p,6.247672120307395,6.902891177851563,n,f,f,d,u
e,4.297487010998043,b,h,n,f,a,c,n,4.461549420500851,5.825335368814078,w,f,f,d,a
e,3.08163672363232,x,w,g,f,a,d,u,4.46172768506715,5.092985216711971,w,f,f,g,w
p,3.6916727193764425,x,s,n,f,a,c,y,4.784944016830027,7.0351728318349815,o,f,f,g,u
p,14.488400460048311,f,t,g,f,e,c,w,13.188973532508257,16.435265499851106,w,t,e,d,u
p,4.988338444144056,o,t,g,f,a,c,o,4.160923335623915,15.22005321330403,w,f,f,d,w
p,5.35390764327196,s,d,n,t,d,c,n,4.443370395361609,7.858947653040467,n,f,f,d,a
e,12.696059980131185,x,s,n,f,a,d,y,6.936971288876311,19.051106695053893,n,f,f,d,a
p,4.579942898044422,b,y,n,f,a,c,g,5.27197906172573,3.8084166237461483,w,t,f,d,u
p,1.0436031225016413,f,y,n,f,a,c,n,4.205683887047621,5.273671935023964,n,f,f,d,a
p,5.430870514104298,x,t,o,f,a,c,y,5.463719066295215,12.786922954312091,y,t,f,d,a
e,9.983925821093527,f,s,n,f,d,d,o,5.873565483688581,15.70873670129175,w,f,f,d,a
e,10.403669581160127,p,y,n,f,p,c,w,7.167687065219953,31.294159387268305,n,f,f,d,u
p,4.100965983199514,b,t,y,f,a,c,n,5.2772401832056035,8.076634045202015,y,f,f,g,a
p,1.5004909271043674,x,d,w,f,a,d,w,5.0880125662718605,7.541113990090912,w,f,f,g,u
p,3.356476685531683,f,y,o,f,d,c,y,3.7490140644474046,6.742431601641932,y,f,f,h,a
e,4.948547915584309,p,t,w,f,a,c,n,5.657679389099893,6.087626966420048,y,t,e,d,u
e,7.734007622340152,f,t,p,f,x,c,w,6.804652947485864,18.683455205996495,w,f,f,d,a
p,2.3737883016137786,x,k,n,f,p,c,e,5.9157624601105985,7.500377647811339,n,f,f,h,a
p,8.600840697717857,x,i,n,f,a,c,n,9.41019528750591,13.770005111215003,n,f,f,d,a
p,4.490282892959388,x,d,p,f,a,c,y,6.043492695194063,5.321570402883533,r,f,f,h,a
e,11.493016551113016,x,h,n,t,p,c,o,8.693365891245012,20.944972436900642,n,f,f,d,a
e,8.206552581061798,x,t,n,f,a,d,y,4.257708925698284,15.36151418733794,w,f,f,d,u
e,12.572504859050827,x,d,e,f,p,c,n,6.31728348210028,31.099938720660376,w,f,f,d,u
p,5.651179762056497,b,s,g,f,f,c,g,6.547584302514755,2.0711759251542405,g,t,e,m,u
p,4.68487157047239,x,t,y,f,a,c,y,6.13872436069208,7.677945925791861,y,f,f,d,a
p,5.047962400736786,s,t,u,f,s,c,y,5.004271334386263,9.105084598841142,y,f,f,d,a
e,6.41179586754384,f,s,n,f,x,c,w,7.3296740177003255,9.060352861673074,n,f,f,l,a
p,4.542140291581886,x,g,n,f,a,d,w,4.265339906448904,7.010155434257735,n,f,f,l,s
e,8.720224494845905,f,t,y,f,x,c,w,8.959567340648581,18.003266732512266,w,f,f,d,a
p,4.126947394971622,x,k,w,f,a,d,w,4.171772898263987,7.158742336606356,n,f,f,g,a
e,4.015017414839142,x,d,o,f,a,c,o,4.32013358594123,5.317565200511045,o,f,f,g,a
p,4.468031012617688,b,t,y,f,a,c,n,5.0934753604283305,7.747465619421066,n,f,f,m,u
p,4.92416183052759,o,t,n,f,f,f,f,3.701219688799422,16.985204391248423,n,f,f,d,a
p,11.50455198925495,x,t,n,f,p,c,w,5.723404708547688,25.224374012304338,n,f,f,d,a
p,3.648132947559915,x,t,k,f,a,c,w,4.577042163603782,5.525765369043189,y,f,f,g,a
p,4.0885984656324785,b,g,w,f,a,c,n,4.095488874323039,5.828732123672342,n,f,f,m,a
e,11.075559645579943,x,t,n,f,p,c,y,6.529925418340406,24.503334126044113,n,f,f,d,u
e,7.829897745365982,x,y,n,t,x,c,p,8.980621107934248,17.912884838238394,w,t,f,d,u
e,4.224551320635301,s,d,y,t,d,c,b,6.4950784129664,7.316970721445006,y,f,f,d,a
p,18.19227793197368,x,s,o,f,p,c,y,10.016508013345623,43.7931369856603,n,f,f,d,w
e,5.516356500883085,o,t,g,f,a,c,w,5.838455850633021,16.665231978115266,g,f,f,d,a
e,4.102737116926587,x,t,n,f,p,c,n,5.9555810697097336,11.763523142995185,e,f,f,d,a
p,4.492655089741641,b,t,n,f,a,c,f,4.193211837547747,7.43460321074023,y,f,f,d,u
e,5.206706791833286,x,t,y,f,a,c,w,6.141901302213701,7.110248703889106,w,f,f,d,a
e,4.126381061677909,f,g,g,f,a,d,g,4.598374334286417,6.229958495347732,w,f,f,d,w
p,11.885657999525012,x,h,n,f,e,c,y,11.346608849543326,20.132967045607625,n,f,p,d,u
e,3.7985143482305888,f,g,g,f,a,d,k,5.961610086628749,4.844976063420291,w,f,f,d,a
p,4.346839874668348,f,i,y,f,s,c,n,5.75040189649324,7.895348037344223,w,f,f,m,u
p,5.796143570202995,f,d,n,f,d,c,w,5.9855050379052015,7.81680849981506,n,f,f,d,a
p,4.8724646294993175,f,t,r,f,x,c,y,4.487849972432417,6.1216901447494845,u,f,f,l,a
e,6.235690931088794,x,s,n,f,e,c,w,8.044369383249604,11.789227317349127,n,f,f,d,a
p,4.300405327868454,s,t,u,f,a,c,f,4.817929123007595,5.752877030504139,y,f,f,d,u
p,0.7918188436259654,x,g,e,f,a,c,w,4.970909283979825,4.447089465127286,n,f,f,d,a
e,5.899760989106024,x,t,y,f,a,c,w,7.244815095460133,12.567100146282556,w,f,f,d,a
p,6.40732395640596,x,i,y,f,a,c,y,7.173064020606763,9.816120794114754,w,f,f,d,u
p,9.501685488003588,x,s,n,t,d,c,n,7.869400969281916,24.81744504769941,w,f,f,d,a
p,3.518744192271644,f,s,n,f,d,d,n,5.6363233688758285,7.341646794466627,n,f,f,h,u
e,10.543406773699118,p,s,w,f,a,c,w,6.860506430021505,25.924500887482175,w,f,f,m,u
