class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
p,2.6719050232075743,f,d,w,f,x,c,w,3.2678224827967397,3.490782176344063,w,f,f,d,u
p,2.372519103713151,o,t,w,f,f,f,f,4.4754589972850765,32.68752568927085,w,f,f,p,u
p,2.8199345484372524,b,y,y,f,e,c,w,5.560172012548702,10.376426981931324,w,t,e,g,u
e,7.218174324635147,f,y,n,f,e,c,w,5.3361083320904426,7.540167457671214,w,t,f,d,a
e,5.162147624768344,x,d,n,f,x,c,y,7.134929498075745,12.663215267753744,y,f,f,d,a
p,5.799706260136765,x,t,y,f,d,d,y,3.9633387584424744,7.633023363641815,w,f,f,d,u
e,10.55245282158924,x,t,w,f,a,c,w,9.514922961149697,13.72439392243116,w,t,g,d,a
e,5.913038605222028,x,h,n,f,x,c,w,6.137399125287801,11.108320385983145,n,f,f,d,s
e,1.5872831697630083,b,g,g,f,a,d,g,4.019839526290122,-1.1704218984679091,g,f,f,d,s
e,7.75593739143301,x,k,n,t,p,c,n,11.111988677852363,29.49564596686382,y,t,f,d,u
p,1.9178798733813351,f,y,w,f,a,d,y,4.155896917815923,5.453254154938975,w,f,f,d,u
e,5.550597414567363,s,l,y,f,f,f,f,8.264730277112255,18.71553363605526,n,f,f,l,u
e,5.68254907918823,x,t,e,f,s,c,w,6.050045787270623,14.199859460876285,g,f,f,d,u
p,7.276079733801532,x,e,y,f,a,c,y,4.980351476189171,26.42132788874317,w,f,f,d,w
e,7.6981001174383135,x,s,y,f,a,c,w,7.249960505628166,17.34155846254709,w,f,f,d,w
e,12.648806933982515,x,e,n,t,a,c,n,9.486415112585739,24.754892569289478,n,t,r,d,a
p,1.6378689515186953,x,g,n,f,a,c,n,4.049142622928569,3.3865242959917152,k,f,r,d,a
e,5.91493699977894,x,s,w,f,e,c,w,5.764388375690203,12.755716405333773,w,t,e,g,a
e,13.289440157338417,f,y,w,f,e,c,w,21.528050702165036,24.4100057623929,w,t,e,m,u
e,9.766982152831044,p,y,w,f,a,c,w,27.524449585517242,26.807517175473563,n,t,m,m,u
p,5.467113804690498,x,s,n,f,e,c,w,8.69345795548343,19.21532155413154,w,f,f,d,u
p,1.5786959458921694,x,s,y,f,a,d,w,4.439357253171478,2.1116920144162683,y,f,f,d,u
e,7.607319205142642,f,s,w,f,e,c,w,4.745036542111153,12.219863413259837,w,t,f,g,w
e,6.3209159645552235,f,y,n,f,e,c,n,3.9539417192276947,15.217155910583887,w,t,l,w,u
p,1.6498786400132137,b,y,w,f,s,c,u,6.701389064965396,3.617752646565402,y,t,e,g,a
e,2.2668896015007154,f,l,y,f,f,f,f,7.7249269191215975,3.5599062340158745,n,f,f,d,a
